timestamp,component,latency_p95_ms,throughput_rps,error_rate_pct,cpu_percent,memory_percent
2026-09-16T10:57:35.415354,checkout,180.0,0.02,0.0,0.0653,7.7949
2026-09-16T10:57:35.459855,product-catalog,50.0,1.9,0.0,0.2397,8.2715
2026-09-16T10:57:35.497151,cart,23.33,0.5,0.0,3.5154,48.4229
2026-09-16T10:57:45.541695,checkout,180.0,0.02,0.0,0.0678,7.5762
2026-09-16T10:57:45.588434,product-catalog,50.0,1.9,0.0,0.2435,7.9082
2026-09-16T10:57:45.635209,cart,23.33,0.5,0.0,3.5127,48.3936
2026-09-16T10:57:55.690131,checkout,180.0,0.02,0.0,0.0713,7.5957
2026-09-16T10:57:55.738800,product-catalog,50.0,1.9,0.0,0.2591,8.375
2026-09-16T10:57:55.782771,cart,23.33,0.5,0.0,3.5196,48.855
2026-09-16T10:58:05.828042,checkout,180.0,0.02,0.0,0.0739,7.6484
2026-09-16T10:58:05.876418,product-catalog,50.0,1.9,0.0,0.2703,8.1836
2026-09-16T10:58:05.941560,cart,23.33,0.5,0.0,3.5172,48.4888
2026-09-16T10:58:15.998523,checkout,186.42,0.0235,0.0,0.0739,7.6484
2026-09-16T10:58:16.041352,product-catalog,3508.6,2.231,0.0,0.2703,8.1836
2026-09-16T10:58:16.086129,cart,23.33,0.587,0.0,3.5172,48.4888
2026-09-16T10:58:26.131510,checkout,320.0,0.0333,0.0,0.0788,8.2383
2026-09-16T10:58:26.172492,product-catalog,1847.35,3.4208,0.0,0.2938,8.291
2026-09-16T10:58:26.219903,cart,17.14,0.8125,0.0,3.5125,48.4937
2026-09-16T10:58:36.256494,checkout,320.0,0.0333,0.0,0.0801,7.6211
2026-09-16T10:58:36.307624,product-catalog,157.95,3.4208,0.0,0.3086,8.6094
2026-09-16T10:58:36.374162,cart,17.14,0.8125,0.0,3.5104,48.6499
2026-09-16T10:58:46.428875,checkout,320.0,0.0333,0.0,0.0801,7.6211
2026-09-16T10:58:46.484552,product-catalog,56.7,3.4208,0.0,0.3086,8.6094
2026-09-16T10:58:46.545264,cart,17.14,0.8125,0.0,3.5104,48.6499
2026-09-16T10:58:56.604842,checkout,320.0,0.0333,0.0,0.0854,7.6699
2026-09-16T10:58:56.657852,product-catalog,49.9,3.4208,0.0,0.3361,8.3496
2026-09-16T10:58:56.705833,cart,17.14,0.8125,0.0,3.5083,48.5498
2026-09-16T10:59:06.777225,checkout,320.0,0.0333,0.0,0.0881,7.7012
2026-09-16T10:59:06.832741,product-catalog,49.9,3.4208,0.0,0.3512,8.4785
2026-09-16T10:59:06.884829,cart,17.14,0.8125,0.0,3.5076,48.7207
2026-09-16T10:59:16.941634,checkout,320.0,0.0333,0.0,0.0904,7.8008
2026-09-16T10:59:16.987445,product-catalog,49.9,3.4208,0.0,0.3648,8.0645
2026-09-16T10:59:17.037043,cart,17.14,0.8125,0.0,3.5058,48.5059
2026-09-16T10:59:27.084636,checkout,560.0,0.05,0.0,0.0931,7.6797
2026-09-16T10:59:27.135639,product-catalog,48.79,3.8208,0.0,0.3799,8.5449
2026-09-16T10:59:27.175324,cart,18.0,0.9333,0.0,3.5042,48.5107
