timestamp,component,scenario,latency_p95_ms,throughput_rps,error_rate_pct,cpu_percent,memory_percent,anomaly_score,is_anomaly,flagged_signal,signal_zscore
2026-09-16T10:57:35.415354,checkout,normal,180.0,0.02,0.0,0.0653,7.7949,-0.0434644843398897,0,,0.0
2026-09-16T10:57:45.541695,checkout,normal,180.0,0.02,0.0,0.0678,7.5762,-0.12855878342920823,0,,0.0
2026-09-16T10:57:55.690131,checkout,normal,180.0,0.02,0.0,0.0713,7.5957,-0.16122879585825506,0,,0.0
2026-09-16T10:58:05.828042,checkout,normal,180.0,0.02,0.0,0.0739,7.6484,-0.15548163540747745,0,,0.0
2026-09-16T10:58:15.998523,checkout,normal,186.42,0.0235,0.0,0.0739,7.6484,-0.09092819450659007,0,,0.0
2026-09-16T10:58:26.131510,checkout,normal,320.0,0.0333,0.0,0.0788,8.2383,0.004829387148876596,1,memory_percent,2.92
2026-09-16T10:58:36.256494,checkout,normal,320.0,0.0333,0.0,0.0801,7.6211,-0.17811750041633334,0,,0.0
2026-09-16T10:58:46.428875,checkout,normal,320.0,0.0333,0.0,0.0801,7.6211,-0.17811750041633334,0,,0.0
2026-09-16T10:58:56.604842,checkout,normal,320.0,0.0333,0.0,0.0854,7.6699,-0.17062768751651897,0,,0.0
2026-09-16T10:59:06.777225,checkout,normal,320.0,0.0333,0.0,0.0881,7.7012,-0.16609732875607125,0,,0.0
2026-09-16T10:59:16.941634,checkout,normal,320.0,0.0333,0.0,0.0904,7.8008,-0.1075676207595812,0,,0.0
2026-09-16T10:59:27.084636,checkout,normal,560.0,0.05,0.0,0.0931,7.6797,0.05049678296211002,1,latency_p95_ms,2.49
2026-09-16T11:24:53.918984,checkout,degraded,125.0,0.0625,100.0,0.4423,8.1973,0.050433629848635864,1,error_rate_pct,999.0
2026-09-16T11:25:04.000281,checkout,degraded,125.0,0.0625,100.0,0.4442,8.0625,0.021408867539119747,1,error_rate_pct,999.0
2026-09-16T11:25:14.056048,checkout,degraded,125.0,0.0625,100.0,0.4451,8.1211,0.029899322556400154,1,error_rate_pct,999.0
2026-09-16T11:25:24.112928,checkout,degraded,130.0,0.0583,100.0,0.4461,7.8086,-0.018158255208765794,0,,0.0
2026-09-16T11:25:34.215956,checkout,degraded,130.0,0.0583,100.0,0.4478,7.6855,-0.04680528236064119,0,,0.0
2026-09-16T11:25:44.295781,checkout,degraded,130.0,0.0583,100.0,0.4505,7.9668,0.009028867723190337,1,error_rate_pct,999.0
2026-09-16T11:25:54.486608,checkout,degraded,130.0,0.0583,100.0,0.4505,7.9668,0.009028867723190337,1,error_rate_pct,999.0
2026-09-16T11:26:04.610981,checkout,degraded,130.0,0.0583,100.0,0.4522,7.8047,-0.018158255208765794,0,,0.0
2026-09-16T11:26:14.672533,checkout,degraded,130.0,0.0583,100.0,0.4522,7.8047,-0.018158255208765794,0,,0.0
2026-09-16T11:26:24.733637,checkout,degraded,96.0,0.0333,100.0,0.4553,7.832,-0.05641425776300324,0,,0.0
2026-09-16T11:26:34.948154,checkout,degraded,96.0,0.0333,100.0,0.4576,7.7793,-0.07014121944190321,0,,0.0
2026-09-16T11:26:45.099675,checkout,degraded,96.0,0.0333,100.0,0.4576,7.7793,-0.07014121944190321,0,,0.0
2026-09-16T11:26:55.166188,checkout,degraded,96.0,0.0333,100.0,0.4601,7.5039,-0.09998056191346483,0,,0.0
2026-09-16T11:27:05.262517,checkout,degraded,96.0,0.0333,100.0,0.4614,7.6582,-0.1037467112776449,0,,0.0
2026-09-16T11:27:15.334261,checkout,degraded,96.0,0.0333,100.0,0.4623,7.7988,-0.06724664401390545,0,,0.0
2026-09-16T11:27:25.386380,checkout,degraded,96.25,0.0291,99.9981,0.4623,7.7988,-0.056085762326491984,0,,0.0
2026-09-16T11:27:35.460105,checkout,degraded,96.25,0.028,99.9992,0.4647,7.9863,-0.02353107826384826,0,,0.0
2026-09-16T11:27:45.521605,checkout,degraded,96.25,0.0269,99.9983,0.4655,7.9531,-0.02353107826384826,0,,0.0
2026-09-16T10:57:35.459855,product-catalog,normal,50.0,1.9,0.0,0.2397,8.2715,-0.02678647847814264,0,,0.0
